TAZ,Pop,Income,Area_SqMi,x-meters,y-meters,EmpDens,PopDens,TotEmp,Military,CVM_IN,CVM_RE,CVM_SV,CVM_TH,CVM_WH,CVM_GO,CVM_LU_Type,SqrtArea,CVM_LU_Low,CVM_LU_Res,CVM_LU_Ret,CVM_LU_Ind,CVM_LU_Emp,Emp_LU_Lo,Emp_LU_Re,Emp_LU_RC,Emp_LU_In,Emp_LU_EN
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,55000,0.03,249201.5,-528497.6,17531.44203,125.5676178,558.470164,0,0,38.11909843,168.9054801,0,3.267351294,348.1782342,5,0.178480662,0,0,0,0,1,0,0,0,0,558.470164
14,794,68349.32432,45.14,241470.4,-499871.1,4.729063749,17.58996695,213.4669512,0,191.6846093,4.356468392,7.623819687,0,0,9.802053883,1,6.718583817,1,0,0,0,0,213.4669512,0,0,0,0
15,16957,48845.60907,159.28,244496.9,-508655,8.728565594,106.4633433,1390.246466,40040,26.13881036,149.2090424,569.6373968,111.089944,2.178234196,531.9930382,4,12.62043894,0,0,0,1,0,0,0,0,1390.246466,0
16,4141,36534.71634,5.71,227789,-508144.8,398.365693,725.0794402,2275.105655,4225,0,0,71,201.105655,0,2003,4,2.389790442,0,0,0,1,0,0,0,0,2275.105655,0
17,386,65162.32639,6.81,257397.8,-506549.8,6.56167335,56.72094772,44.65380102,0,26.13881035,0,10.89117098,0,2.178234196,5.44558549,1,2.608686634,1,0,0,0,0,44.65380102,0,0,0,0
18,363,69302.46114,2.78,263206.8,-506436.1,103.0038858,130.5358824,286.4377968,0,272.2792745,5.44558549,0,0,3.267351294,5.44558549,1,1.667586451,1,0,0,0,0,286.4377968,0,0,0,0
